timestamp,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,ft_fx,ft_fy,ft_fz,ft_tx,ft_ty,ft_tz,,,,,,,,,,,,,,,,,
2025-09-12T21:31:50.875702,-0.061348263,-1.285888986,1.393883053,-1.94354405,-1.678202931,0.004611492,0,-0.061348263,-1.285888986,1.393883053,-1.94354405,-1.678202931,0.004611492,0,-0.3994,-1.6306,0.061,0.09003,-0.01431,-0.00294,,,,,,,,,,,,,,,,,
2025-09-12T21:31:50.907697,-0.061384026,-1.285865144,1.393869702,-1.943507811,-1.67819101,0.004622936,0,-0.061384026,-1.285865144,1.393869702,-1.943507811,-1.67819101,0.004622936,0,-0.3594,-1.6106,0.001,0.08603,-0.01031,-0.00294,,,,,,,,,,,,,,,,,
2025-09-12T21:31:50.939736,-0.061348263,-1.285900907,1.393934552,-1.943556448,-1.678143326,0.004611492,0,-0.061348263,-1.285900907,1.393934552,-1.943556448,-1.678143326,0.004611492,0,-0.3394,-1.5506,-0.099,0.08403,-0.01431,-0.00194,,,,,,,,,,,,,,,,,
2025-09-12T21:31:50.987738,-0.061335866,-1.285852746,1.394123379,-1.94354405,-1.67819101,0.004599094,0,-0.061335866,-1.285852746,1.394123379,-1.94354405,-1.67819101,0.004599094,0,-0.2194,-1.6506,0.061,0.08803,-0.01131,-0.00094,,,,,,,,,,,,,,,,,
2025-09-12T21:31:51.019802,-0.061395947,-1.285865144,1.394159619,-1.94354405,-1.67819101,0.004622936,0,-0.061395947,-1.285865144,1.394159619,-1.94354405,-1.67819101,0.004622936,0,-0.4394,-1.5106,-0.139,0.08803,-0.01731,-0.00294,,,,,,,,,,,,,,,,,
2025-09-12T21:31:51.051819,-0.061372105,-1.285865144,1.394232098,-1.943520208,-1.678143326,0.004599094,0,-0.061372105,-1.285865144,1.394232098,-1.943520208,-1.678143326,0.004599094,0,-0.2394,-1.6906,0.041,0.09703,-0.00731,-0.00094,,,,,,,,,,,,,,,,,
2025-09-12T21:31:51.083856,-0.061360184,-1.285853223,1.394253079,-1.94358029,-1.678167168,0.004599094,0,-0.061360184,-1.285853223,1.394253079,-1.94358029,-1.678167168,0.004599094,0,-0.4394,-1.5106,0.001,0.08203,-0.01331,-0.00094,,,,,,,,,,,,,,,,,
2025-09-12T21:31:51.115820,-0.061335866,-1.285864667,1.394182507,-1.943520208,-1.678167168,0.004575253,0,-0.061335866,-1.285864667,1.394182507,-1.943520208,-1.678167168,0.004575253,0,-0.2194,-1.6306,0.001,0.08603,-0.01831,-0.00194,,,,,,,,,,,,,,,,,
2025-09-12T21:31:51.147835,-0.061348263,-1.285852746,1.394157712,-1.943556448,-1.678167168,0.004599094,0,-0.061348263,-1.285852746,1.394157712,-1.943556448,-1.678167168,0.004599094,0,-0.3994,-1.5306,-0.039,0.08603,-0.01531,-0.00194,,,,,,,,,,,,,,,,,
2025-09-12T21:31:51.179850,-0.061348263,-1.285792665,1.394193951,-1.943556448,-1.678202931,0.004575253,0,-0.061348263,-1.285792665,1.394193951,-1.943556448,-1.678202931,0.004575253,0,-0.1794,-1.5906,0.001,0.09103,-0.01331,-0.00094,,,,,,,,,,,,,,,,,
