x,y
-7.118055597,-1.75e-05
-7.500012871,-1.75e-05
-7.118055597,0.45138842
-7.118055597,0.798610621
-7.500012871,0.798610621
-7.500012871,0.45138842
-7.118055597,1.145832939
-7.118055597,1.493055141
-7.500012871,1.493055141
-7.500012871,1.145832939
-6.423611194,-1.75e-05
-6.770833395,-1.75e-05
-5.729166791,-1.75e-05
-6.076388992,-1.75e-05
-6.423611194,0.45138842
-6.423611194,0.798610621
-6.770833395,0.798610621
-6.770833395,0.45138842
-6.423611194,1.145832939
-6.423611194,1.493055141
-6.770833395,1.493055141
-6.770833395,1.145832939
-5.729166791,0.45138842
-5.729166791,0.798610621
-6.076388992,0.798610621
-6.076388992,0.45138842
-5.729166791,1.145832939
-5.729166791,1.493055141
-6.076388992,1.493055141
-6.076388992,1.145832939
-7.118055597,1.840277342
-7.118055597,2.187499544
-7.500012871,2.187499544
-7.500012871,1.840277342
-7.118055597,2.534721745
-7.118055597,2.88194418
-7.500012871,2.88194418
-7.500012871,2.534721745
-7.118055597,3.229166381
-7.118055597,3.576388583
-7.500012871,3.576388583
-7.500012871,3.229166381
-7.118055597,3.923610784
-7.118055597,4.270832986
-7.500012871,4.270832986
-7.500012871,3.923610784
-6.423611194,1.840277342
-6.423611194,2.187499544
-6.770833395,2.187499544
-6.770833395,1.840277342
-6.423611194,2.534721745
-6.423611194,2.88194418
-6.770833395,2.88194418
-6.770833395,2.534721745
-5.729166791,1.840277342
-5.729166791,2.187499544
-6.076388992,2.187499544
-6.076388992,1.840277342
-5.729166791,2.534721745
-5.729166791,2.88194418
-6.076388992,2.88194418
-6.076388992,2.534721745
-6.423611194,3.229166381
-6.423611194,3.576388583
-6.770833395,3.576388583
-6.770833395,3.229166381
-6.423611194,3.923610784
-6.423611194,4.270832986
-6.770833395,4.270832986
-6.770833395,3.923610784
-5.729166791,3.229166381
-5.729166791,3.576388583
-6.076388992,3.576388583
-6.076388992,3.229166381
-5.729166791,3.923610784
-5.729166791,4.270832986
-6.076388992,4.270832986
-6.076388992,3.923610784
-7.118055597,4.618055187
-7.118055597,4.965277389
-7.500012871,4.965277389
-7.500012871,4.618055187
-7.118055597,5.31249959
-7.118055597,5.659721792
-7.500012871,5.659721792
-7.500012871,5.31249959
-7.118055597,6.006943993
-7.118055597,6.354166195
-7.500012871,6.354166195
-7.500012871,6.006943993
-7.118055597,6.701388396
-7.118055597,7.048610598
-7.500012871,7.048610598
-7.500012871,6.701388396
-6.423611194,4.618055187
-6.423611194,4.965277389
-6.770833395,4.965277389
-6.770833395,4.618055187
-6.423611194,5.31249959
-6.423611194,5.659721792
-6.770833395,5.659721792
-6.770833395,5.31249959
-5.729166791,4.618055187
-5.729166791,4.965277389
-6.076388992,4.965277389
-6.076388992,4.618055187
-5.729166791,5.31249959
-5.729166791,5.659721792
-6.076388992,5.659721792
-6.076388992,5.31249959
-6.423611194,6.006943993
-6.423611194,6.354166195
-6.770833395,6.354166195
-6.770833395,6.006943993
-6.423611194,6.701388396
-6.423611194,7.048610598
-6.770833395,7.048610598
-6.770833395,6.701388396
-5.729166791,6.006943993
-5.729166791,6.354166195
-6.076388992,6.354166195
-6.076388992,6.006943993
-5.729166791,6.701388396
-5.729166791,7.048610598
-6.076388992,7.048610598
-6.076388992,6.701388396
-7.118055597,7.395832799
-7.118055597,7.743055001
-7.500012871,7.743055001
